Date,Open,High,Low,Close,Volume,Daily_Return,Price_Change,MA_7,MA_30,MA_90,Volatility_30,Cumulative_Return,Year,Month,Day,Day_of_Week
2024-03-18 16:03:07.847167,28.446717294825245,29.208876437107648,28.13766049880777,28.552509752982697,7304459,,,,,,,,2024,3,18,Monday
2024-03-19 16:03:07.847167,28.456289987462277,29.086605682339467,28.26479236601789,28.501028124292425,4899054,-0.1803050909907955,-0.051481628690272174,,,,,-0.1803050909907955,2024,3,19,Tuesday
2024-03-20 16:03:07.847167,28.76849385852158,29.01846636026304,28.406496085696805,28.763927631310903,6457550,0.922421134676199,0.26289950701847786,,,,,0.7404528714192171,2024,3,20,Wednesday
2024-03-21 16:03:07.847167,29.222409505101368,29.53463039758341,28.98707283888207,29.37696366565232,4550184,2.131266780389529,0.6130360343414161,,,,,2.887500677881749,2024,3,21,Thursday
2024-03-22 16:03:07.847167,29.05602850238471,29.863475918993487,28.607849880644377,29.287126407541187,7174482,-0.305808521035722,-0.08983725811113175,,,,,2.572861933728099,2024,3,22,Friday
2024-03-25 16:03:07.847167,29.263667742004696,29.755453566536517,28.58376565014673,29.19729571653972,11153113,-0.30672415501418193,-0.08983069100146679,,,,,2.258246189688018,2024,3,25,Monday
2024-03-26 16:03:07.847167,29.70598326646503,30.124086603419624,29.19429150897194,29.83280493452088,6273523,2.1766030119739987,0.6355092179811592,29.07309374754859,,,,4.484002256244546,2024,3,26,Tuesday
2024-03-27 16:03:07.847167,30.19234585081381,30.90920741153553,30.03588103286019,30.14360291796024,11477276,1.041799402106247,0.31079798343936105,29.300392771116808,,,,5.572515967046776,2024,3,27,Wednesday
2024-03-28 16:03:07.847167,29.752254884528984,30.16537777961109,29.56832945663863,29.959637255364463,14223445,-0.6102975251381371,-0.18396566259577796,29.5087655041271,,,,4.928209514873827,2024,3,28,Thursday
2024-03-29 16:03:07.847167,30.169169425689944,30.583119725306872,29.743544458432325,30.18048536457705,9961383,0.7371521468372944,0.2208481092125858,29.711130894593698,,,,5.7016900639506485,2024,3,29,Friday
2024-04-01 16:03:07.847167,30.018496038761224,30.75947352334759,29.88550778545413,29.99894237923027,13313522,-0.6015244060980418,-0.18154298534677693,29.799984996533404,,,,5.065868600557866,2024,4,1,Monday
2024-04-02 16:03:07.847167,29.547568691673828,30.210283691428657,29.534605323458848,29.81647456958037,10960339,-0.6082474753384304,-0.18246780964989995,29.875606162538997,,,,4.426808107352587,2024,4,2,Tuesday
2024-04-03 16:03:07.847167,29.819046136901346,30.464051733349848,29.284880693799494,29.91708356998499,5770742,0.33742755257613055,0.10060900040461718,29.97843299874547,,,,4.779172930182596,2024,4,3,Wednesday
2024-04-04 16:03:07.847167,28.936244370063456,29.533911642474028,28.95961876988977,29.15559556390007,5770374,-2.5453283382505187,-0.7614880060849174,29.881688802942495,,,,2.112198949006139,2024,4,4,Thursday
2024-04-05 16:03:07.847167,28.207477504956724,28.76140316431713,27.99473543065625,28.469452522673063,14970907,-2.353383726026781,-0.6861430412270089,29.64252446075861,,,,-0.290892923347863,2024,4,5,Friday
2024-04-08 16:03:07.847167,28.54233774218884,29.03714595632676,27.99772029234281,28.24836160275488,14434523,-0.7765899949853439,-0.22109091991818275,29.398056510385818,,,,-1.0652238729943697,2024,4,8,Monday
2024-04-09 16:03:07.847167,27.740465553384144,28.23358705081984,27.738568704148584,27.84705324639931,10296405,-1.4206429455945302,-0.40130835635557105,29.06470906493185,,,,-2.47073379078242,2024,4,9,Tuesday
2024-04-10 16:03:07.847167,28.1625009387284,28.70244571379101,27.70773525089594,27.97657627121562,9846539,0.465122911463034,0.1295230248163115,28.775799620929757,,,,-2.0171028282615744,2024,4,10,Wednesday
2024-04-11 16:03:07.847167,27.4699751256436,27.8781589569091,26.8340791043483,27.61719073278534,11659522,-1.2845944226565154,-0.3593855384302813,28.461616215673327,,,,-3.275785660486996,2024,4,11,Thursday
2024-04-12 16:03:07.847167,27.164994977363783,27.305266636846984,26.395017365711333,27.056093344029424,7109803,-2.031696106185832,-0.5610973887559147,28.052903326251105,,,,-5.240927756961722,2024,4,12,Friday
2024-04-15 16:03:07.847167,27.80231365931006,27.767970801395403,26.874473292351524,27.646176943376247,8636289,2.1809637919401936,0.5900835993468228,27.8372720947477,,,,-3.174266701762607,2024,4,15,Monday
2024-04-16 16:03:07.847167,27.617073759324544,28.11585729272296,27.118192684211383,27.55969051495984,11751063,-0.31283323040847133,-0.08648642841640708,27.70730609364581,,,,-3.47716977110617,2024,4,16,Tuesday
2024-04-17 16:03:07.847167,27.573471601743304,27.94849432921984,27.413710549538955,27.590525888613207,4034586,0.11188577620866447,0.030835373653367526,27.61332956305414,,,,-3.3691744532860057,2024,4,17,Wednesday
2024-04-18 16:03:07.847167,26.97155525439439,27.72950148079377,26.54087906362444,27.024450705906027,9040502,-2.0517013158520614,-0.5660751827071806,27.495814914412243,,,,-5.351750372546649,2024,4,18,Thursday
2024-04-19 16:03:07.847167,26.719842667799952,27.241768642558245,26.392457573682183,26.810521707874155,13135296,-0.7916127523181049,-0.2139289980318715,27.32923569107775,,,,-6.100997986443446,2024,4,19,Friday
2024-04-22 16:03:07.847167,27.116432322085,27.63645023507661,26.167664877618574,26.858714835536304,8547094,0.1797545314009774,0.04819312766214878,27.220881991470744,,,,-5.932210275383786,2024,4,22,Monday
2024-04-23 16:03:07.847167,26.600513141018222,26.63200935733777,26.23348368979661,26.402141496345585,6100581,-1.6999076165276295,-0.45657333919071874,27.127460298944477,,,,-7.531275797611736,2024,4,23,Tuesday
2024-04-24 16:03:07.847167,26.835260941861964,27.264281013030985,26.11447599954681,26.556244795462057,5661637,0.5836772715493543,0.15410329911647125,26.971755706385313,,,,-6.991556871150739,2024,4,24,Wednesday
2024-04-25 16:03:07.847167,26.094391745364064,26.96343120822696,26.114779345986943,26.319813411272737,6672277,-0.890304280632781,-0.23643138418931997,26.79463040585858,,,,-7.819615021676785,2024,4,25,Thursday
2024-04-26 16:03:07.847167,26.345480488255813,26.846605294384464,25.879686854310584,26.206960003133627,5084504,-0.42877738673775534,-0.11285340813910949,26.596978136504358,28.2957815291925,,,-8.21486366747164,2024,4,26,Friday
2024-04-29 16:03:07.847167,26.233105724112693,26.66144970970189,25.35395149584861,25.97010145002007,13643344,-0.9038001854668964,-0.23685855311355652,26.446356814234935,28.209701252427077,,1.2559670538040077,-9.044417899876079,2024,4,29,Monday
2024-04-30 16:03:07.847167,26.523576655301245,27.347553609261947,26.281624125043717,26.71483681560185,6021372,2.867664444881113,0.7447353655817786,26.432687543910315,28.15016154213739,,1.3834514596052556,-6.436117011356179,2024,4,30,Tuesday
2024-05-01 16:03:07.847167,26.453159777904947,27.25161624262687,26.35014021788284,26.71326201748488,13776837,-0.005894844605791594,-0.001574798116969589,26.411908569902973,28.081806021676528,,1.3676267528145796,-6.441632456865509,2024,5,1,Wednesday
